simple_name,where_its_from,category
Junia,New Testament,Person
Kedar,Old Testament,Person
Keturah,Genesis,Person
Kohath,Old Testament,Person
Korah,Genesis,Person
Korah,Numbers,Person
Laban,Genesis,Person
Lamech,Genesis,Person
Lamech,Old Testament,Person
Lazarus,New Testament,Person
Lazarus,New Testament,Person
Leah,Genesis,Person
Levi,Old Testament,Person
Linus,New Testament,Person
List of the kings of Israel,Old Testament,Person
List of the kings of Judah,Old Testament,Person
Lot,Genesis,Person
Lucius Junius Gallio Annaeanus,Romans,Person
Lud,Genesis,Person
Luke the Evangelist,New Testament,Person
Maacah,Old Testament,Person
Magi,Old Testament,Person
Mahalalel,Old Testament,Person
Mahalath,Old Testament,Person
Maher Shalal Hash Baz,Old Testament,Person
Malchishua,Old Testament,Person
Manasseh,Old Testament,Person
Manasseh,Old Testament,Person
Mark the Evangelist,New Testament,Person
Martha,New Testament,Person
Mary,New Testament,Person
Mary Magdalene,New Testament,Person
Matthew the Apostle,New Testament,Person
Matthias,New Testament,Person
Mehujael,Old Testament,Person
Melchizedek,Genesis,Person
Memucan,Old Testament,Person
Menahem,Old Testament,Person
Mephibosheth,Old Testament,Person
Mephibosheth,Old Testament,Person
Merab,Old Testament,Person
Merari,Old Testament,Person
Methuselah,Old Testament,Person
Methushael,Old Testament,Person
Micah,Old Testament,Person
Micaiah,Old Testament,Person
Michael,Old Testament,Person
Michal,Old Testament,Person
Midian,Genesis,Person
Miriam,Old Testament,Person
Moab,Genesis,Person
Mordecai,Old Testament,Person
Moses,Old Testament,Person
Naamah,Old Testament,Person
Naaman,Old Testament,Person
Nabal,Old Testament,Person
Naboth,Old Testament,Person
Nadab,Old Testament,Person
Nadab,Old Testament,Person
Nahash,Old Testament,Person
Nahor,Genesis,Person
Nahor,Genesis,Person
Nahshon,Old Testament,Person
Naomi,Old Testament,Person
Naphtali,Old Testament,Person
Nathan,Old Testament,Person
Nathan,Old Testament,Person
Nathan-Melech,Old Testament,Person
Nathanael,New Testament,Person
Nebaioth,Genesis,Person
Nebuchadnezzar,Old Testament,Person
Neco,Old Testament,Person
Nehemiah,Old Testament,Person
Nero,Romans,Person
Nicodemus,John,Person
Nimrod,Genesis,Person
Noadiah,Nehemiah,Person
Noah,Old Testament,Person
Obadiah,Old Testament,Person
Obed,Old Testament,Person
Oded,Old Testament,Person
Og of the Bashan,Old Testament,Person
Oholiab,Old Testament,Person
Oholibamah,Genesis,Person
Omri,Old Testament,Person
Onan,Genesis,Person
Othniel,Joshua,Person
Patriarch,Old Testament,Person
Paul,New Testament,Person
Pekah,Old Testament,Person
Pekahiah,Old Testament,Person
Peleg,Genesis,Person
Penitent Thief,Luke,Person
Perez,Genesis,Person
Pharaoh,Old Testament,Person
Pharaoh,Old Testament,Person
Pharaoh,Old Testament,Person
Philip the Apostle,New Testament,Person
Philip the Tetrarch,New Testament,Person
Phoebe,New Testament,Person
Pontius Pilate,Romans,Person
Porcius Festus,Romans,Person
Potiphar,Old Testament,Person
Potiphar's wife,Old Testament,Person
Prophet,Unknown,Person
Queen of Sheba,Old Testament,Person
Rachel,Genesis,Person
Rahab,Old Testament,Person
Ram,Exodus,Person
Rebekah,Genesis,Person
Rehoboam,Old Testament,Person
Rehum,Old Testament,Person
Reu,Genesis,Person
Reuben,Genesis,Person
Reuel,Genesis,Person
Reuma,Old Testament,Person
Rizpah,Old Testament,Person
Ruth,Old Testament,Person
Saint,Unknown,Person
Salmon,Old Testament,Person
Salome,New Testament,Person
Salome,New Testament,Person
Samson,Judges,Person
Samuel,Judges,Person
Sanballat,Old Testament,Person
Sapphira,New Testament,Person
Sarah,Genesis,Person
Sargon II,Old Testament,Person
Saul,Old Testament,Person
Selah,Genesis,Person
Sennacherib,Old Testament,Person
Serug,Genesis,Person
Seth,Genesis,Person
Seventy Disciples,New Testament,Person
Shallum,Old Testament,Person
Shalmaneser V,Old Testament,Person
Shamgar,Judges,Person
Shealtiel,Ezra,Person
Shecaniah,Old Testament,Person
Shechem,Genesis,Person
Shechem,Old Testament,Person
Shelah,Old Testament,Person
Shem,Genesis,Person
Shemaiah,Old Testament,Person
Shemaiah,Nehemiah,Person
Shishak,Genesis,Person
Shobach,Old Testament,Person
Shobi,Old Testament,Person
Sihon,Old Testament,Person
Simeon,Genesis,Person
Simeon,New Testament,Person
Simon of Cyrene,New Testament,Person
Simon Peter,New Testament,Person
Simon the Kanaanite,New Testament,Person
Sisera,Old Testament,Person
Solomon,Old Testament,Person
Sosthenes,New Testament,Person
Stachys,New Testament,Person
Stephen,New Testament,Person
Tamar,Old Testament,Person
Tamar,Old Testament,Person
Taphath,Old Testament,Person
Tattenai,Old Testament,Person
Terah,Genesis,Person
Teresh,Old Testament,Person
Thomas,New Testament,Person
Tiberius Caesar,Romans,Person
Tiglath-Pileser III,Old Testament,Person
Timothy,New Testament,Person
Tobiah,Nehemiah,Person
Tola,Judges,Person
Tribe of Asher,Unknown,Person
Tribe of Benjamin,Old Testament,Person
Tribe of Dan,Old Testament,Person
Tribe of Ephraim,Unknown,Person
Tribe of Gad,Unknown,Person
Tribe of Issachar,Unknown,Person
Tribe of Judah,Old Testament,Person
Tribe of Levi,Unknown,Person
Tribe of Manasseh,Unknown,Person
Tribe of Naphtali,Unknown,Person
Tribe of Reuben,Old Testament,Person
Tribe of Simeon,Unknown,Person
Tribe of Zebulun,Unknown,Person
Tribes of Israel,Old Testament,Person
Uriah the Hittite,Old Testament,Person
Uzzah,Old Testament,Person
Uzziah,Old Testament,Person
Vashti,Old Testament,Person
Xerxes I,Old Testament,Person
Yahweh,Old Testament,Person
Zebah and Zalmunna,Old Testament,Person
Zebul,Old Testament,Person
Zebulun,Old Testament,Person
Zechariah,Old Testament,Person
Zechariah,Luke,Person
Zedekiah,Old Testament,Person
Zelek,Old Testament,Person
Zerah,Old Testament,Person
Zerah the Ethiopian,Old Testament,Person
Zeresh,Old Testament,Person
Zerubbabel,Ezra,Person
Zeruiah,Old Testament,Person
Ziba,Old Testament,Person
Zillah,Old Testament,Person
Zilpah,Genesis,Person
Zimri,Old Testament,Person
Zipporah,Old Testament,Person
