Card Name,Set Code,Set Name,Collector Number,Rarity,Language,Quantity,Condition,Finish,Altered,Signed,Misprint,Price (USD),Price (EUR),Price (USD Foil),Price (EUR Foil),Price (USD Etched),Price (EUR Etched),Scryfall ID,Container Type,Container Name
"Accumulate Wisdom","tla","Avatar: The Last Airbender","44","uncommon","en",4,"NM","nonfoil",false,false,false,0.34,0.60,0.46,0.90,0,0,"a6335319-6c92-40d4-ab2d-c06c79049c30","deck","Lessons STD - Main"
"Gran-Gran","tla","Avatar: The Last Airbender","54","uncommon","en",3,"NM","nonfoil",false,false,false,0.29,0.24,0.43,0.37,0,0,"fa434b41-e5f7-4989-865a-95db67b05cb1","deck","Lessons STD - Main"
"It'll Quench Ya!","tla","Avatar: The Last Airbender","58","common","en",2,"NM","nonfoil",false,false,false,0.23,0.13,0.34,0.23,0,0,"47c25e41-f43c-4447-81b5-b9631448bd29","deck","Lessons STD - Main"
"Combustion Technique","tla","Avatar: The Last Airbender","128","uncommon","en",2,"NM","nonfoil",false,false,false,0.26,0.32,0.33,0.34,0,0,"fdcca576-2ef2-44cc-9944-a92bd146444a","deck","Lessons STD - Main"
"Firebending Lesson","tla","Avatar: The Last Airbender","138","common","en",4,"NM","nonfoil",false,false,false,0.19,0.17,0.34,0.34,0,0,"fa940e68-010e-4b68-be8a-555d7068f7b4","deck","Lessons STD - Main"
"Firebending Student","tla","Avatar: The Last Airbender","139","rare","en",3,"NM","nonfoil",false,false,false,0.44,0.57,0.70,0.60,0,0,"3b366f59-16fe-43cb-888d-1f93ef8fd332","deck","Lessons STD - Main"
"How to Start a Riot","tla","Avatar: The Last Airbender","140","common","en",3,"NM","nonfoil",false,false,false,0.14,0.09,0.23,0.18,0,0,"23b3bf1e-ea85-47f5-8473-4d16615f68d7","deck","Lessons STD - Main"
"Iroh's Demonstration","tla","Avatar: The Last Airbender","141","uncommon","en",4,"NM","nonfoil",false,false,false,0.28,0.33,0.41,0.56,0,0,"18d15fed-1f8f-4407-a221-a47ce75001a8","deck","Lessons STD - Main"
"Ran and Shaw","tla","Avatar: The Last Airbender","150","rare","en",1,"NM","nonfoil",false,false,false,0.28,0.19,0.37,0.48,0,0,"6436e2d0-989f-47e3-90bc-9cde82a2ddb4","deck","Lessons STD - Main"
"Abandon Attachments","tla","Avatar: The Last Airbender","205","common","en",2,"NM","nonfoil",false,false,false,0.27,0.29,0.44,0.69,0,0,"74ca45a4-97ab-4255-9129-884e8b42b984","deck","Lessons STD - Main"
"Dragonfly Swarm","tla","Avatar: The Last Airbender","215","uncommon","en",3,"NM","nonfoil",false,false,false,0.22,0.16,0.28,0.23,0,0,"16be5cc4-b15a-4c5e-8a6e-05c87b519127","deck","Lessons STD - Main"
"Iroh, Grand Lotus","tla","Avatar: The Last Airbender","227","rare","en",1,"NM","nonfoil",false,false,false,0.46,0.30,0.60,0.52,0,0,"879b73d3-4552-4fdc-baee-c4d097ae9a4f","deck","Lessons STD - Main"
"Sokka, Bold Boomeranger","tla","Avatar: The Last Airbender","240","rare","en",1,"NM","nonfoil",false,false,false,0.30,0.21,0.39,0.31,0,0,"4a1f1472-55b4-450d-8e4d-7297130a0cf3","deck","Lessons STD - Main"
"Agna Qel'a","tla","Avatar: The Last Airbender","264","rare","en",2,"NM","nonfoil",false,false,false,0.98,1.30,1.13,1.58,0,0,"6b885829-a323-4f7d-87c9-aa4615dcbe5c","deck","Lessons STD - Main"
"Fire Nation Palace","tla","Avatar: The Last Airbender","268","rare","en",1,"NM","nonfoil",false,false,false,1.84,1.14,2.04,1.77,0,0,"c91ac3f2-9fcd-4b41-a168-ae7f70b67d3c","deck","Lessons STD - Main"
"White Lotus Hideout","tla","Avatar: The Last Airbender","281","uncommon","en",1,"NM","nonfoil",false,false,false,0.22,0.16,0.34,0.23,0,0,"24d1e22c-0d99-4ed5-94f0-fd055fd8e2be","deck","Lessons STD - Main"
"Mountain","tla","Avatar: The Last Airbender","285","common","en",1,"NM","nonfoil",false,false,false,0.15,0.15,0.28,0.19,0,0,"c44f81ca-f72f-445c-8901-3a894a2a47f9","deck","Lessons STD - Main"
"Forest","tla","Avatar: The Last Airbender","286","common","en",1,"NM","nonfoil",false,false,false,0.19,0.14,0.25,0.16,0,0,"a305e44f-4253-4754-b83f-1e34103d77b0","deck","Lessons STD - Main"
"Mountain","tla","Avatar: The Last Airbender","295","common","en",1,"NM","nonfoil",false,false,false,0.37,0.34,0.39,0.35,0,0,"488ca216-de75-4acc-9c67-fd37070d7e92","deck","Lessons STD - Main"
"Ran and Shaw","tla","Avatar: The Last Airbender","325","rare","en",1,"NM","nonfoil",false,false,false,1.28,1.05,1.26,1.27,0,0,"b9b12da4-7c5c-4dce-932d-0683bf04df7d","deck","Lessons STD - Main"
"Firebending Student","tla","Avatar: The Last Airbender","342","rare","en",1,"NM","nonfoil",false,false,false,1.47,2.28,2.13,2.12,0,0,"c0b0e696-3cb1-4192-a127-da1d112489b7","deck","Lessons STD - Main"
"Iroh, Grand Lotus","tla","Avatar: The Last Airbender","349","rare","en",1,"NM","nonfoil",false,false,false,1.82,1.80,3.74,2.73,0,0,"85af39f5-8207-4fc5-a956-1ee2799ac374","deck","Lessons STD - Main"
"The Mechanist, Aerial Artisan","tla","Avatar: The Last Airbender","369","rare","en",1,"NM","nonfoil",false,false,false,0.53,0.57,0.49,0.73,0,0,"d638ce04-cff8-4253-95f6-4ebdcfe01309","deck","Lessons STD - Main"
