Card Name,Set Code,Set Name,Collector Number,Rarity,Language,Quantity,Condition,Finish,Altered,Signed,Misprint,Price (USD),Price (EUR),Price (USD Foil),Price (EUR Foil),Price (USD Etched),Price (EUR Etched),Scryfall ID,Container Type,Container Name
"Razor Rings","tla","Avatar: The Last Airbender","33","common","en",1,"NM","nonfoil",false,false,false,0.09,0.02,0.21,0.06,0,0,"b05cfee5-ee59-4df6-a5f6-d9ef0fa7f98a","deck","Ally STD - Main"
"South Pole Voyager","tla","Avatar: The Last Airbender","35","rare","en",2,"NM","nonfoil",false,false,false,0.36,0.30,0.45,0.40,0,0,"4b5ad895-be8d-476b-91ca-22fad7a3cc58","deck","Ally STD - Main"
"Water Tribe Rallier","tla","Avatar: The Last Airbender","42","uncommon","en",3,"NM","nonfoil",false,false,false,0.24,0.10,0.26,0.14,0,0,"4e744b6c-1c2f-451a-818a-5ee7785b5213","deck","Ally STD - Main"
"Boomerang Basics","tla","Avatar: The Last Airbender","46","uncommon","en",1,"NM","nonfoil",false,false,false,0.76,1.12,1.83,1.96,0,0,"17ab958a-abc6-472e-ad6a-97c731d89c74","deck","Ally STD - Main"
"First-Time Flyer","tla","Avatar: The Last Airbender","49","common","en",2,"NM","nonfoil",false,false,false,0.10,0.03,0.10,0.05,0,0,"ea22d29d-3a62-4ae2-91d5-21a678be9b48","deck","Ally STD - Main"
"Gran-Gran","tla","Avatar: The Last Airbender","54","uncommon","en",1,"NM","nonfoil",false,false,false,0.29,0.24,0.43,0.37,0,0,"fa434b41-e5f7-4989-865a-95db67b05cb1","deck","Ally STD - Main"
"It'll Quench Ya!","tla","Avatar: The Last Airbender","58","common","en",2,"NM","nonfoil",false,false,false,0.23,0.13,0.34,0.23,0,0,"47c25e41-f43c-4447-81b5-b9631448bd29","deck","Ally STD - Main"
"Teo, Spirited Glider","tla","Avatar: The Last Airbender","74","uncommon","en",2,"NM","nonfoil",false,false,false,0.15,0.02,0.15,0.18,0,0,"66906ed4-baac-4be0-9359-34f453d1a04a","deck","Ally STD - Main"
"Aang, at the Crossroads // Aang, Destined Savior","tla","Avatar: The Last Airbender","203","rare","en",2,"NM","nonfoil",false,false,false,0.48,0.71,0.81,0.94,0,0,"fea89ca0-8070-4f28-9851-994314f9d248","deck","Ally STD - Main"
"Aang, Swift Savior // Aang and La, Ocean's Fury","tla","Avatar: The Last Airbender","204","rare","en",2,"NM","nonfoil",false,false,false,1.70,3.39,2.54,3.74,0,0,"82866a0e-485a-4f7e-8c49-f7d9ff3f4ad4","deck","Ally STD - Main"
"Air Nomad Legacy","tla","Avatar: The Last Airbender","206","uncommon","en",2,"NM","nonfoil",false,false,false,0.20,0.12,0.26,0.21,0,0,"10874416-fa4c-4aa3-b885-4351d011d208","deck","Ally STD - Main"
"Sokka, Lateral Strategist","tla","Avatar: The Last Airbender","241","uncommon","en",2,"NM","nonfoil",false,false,false,0.14,0.08,0.25,0.21,0,0,"1326c5db-4615-495f-8e30-376243d91352","deck","Ally STD - Main"
"Jasmine Dragon Tea Shop","tla","Avatar: The Last Airbender","270","rare","en",1,"NM","nonfoil",false,false,false,0.50,0.37,0.71,0.68,0,0,"da2c83d4-a95f-47ff-a08f-694eb78d6b9b","deck","Ally STD - Main"
"Kyoshi Village","tla","Avatar: The Last Airbender","271","common","en",2,"NM","nonfoil",false,false,false,0.18,0.06,0.22,0.10,0,0,"8d5f3008-2af8-4e81-8847-1c91f524e747","deck","Ally STD - Main"
"Meditation Pools","tla","Avatar: The Last Airbender","272","common","en",1,"NM","nonfoil",false,false,false,0.24,0.08,0.28,0.18,0,0,"cc078fc6-4470-473f-9e24-d2c470e09141","deck","Ally STD - Main"
"North Pole Gates","tla","Avatar: The Last Airbender","274","common","en",1,"NM","nonfoil",false,false,false,0.23,0.07,0.21,0.19,0,0,"bcf7b9da-d35d-4338-b4d9-83e47dc058ee","deck","Ally STD - Main"
"Plains","tla","Avatar: The Last Airbender","282","common","en",6,"NM","nonfoil",false,false,false,0.18,0.16,0.21,0.16,0,0,"4069fb4a-8ee1-41ef-ab93-39a8cc58e0e5","deck","Ally STD - Main"
"Island","tla","Avatar: The Last Airbender","283","common","en",3,"NM","nonfoil",false,false,false,0.15,0.12,0.26,0.17,0,0,"a2e22347-f0cb-4cfd-88a3-4f46a16e4946","deck","Ally STD - Main"
"Forest","tla","Avatar: The Last Airbender","286","common","en",1,"NM","nonfoil",false,false,false,0.19,0.14,0.25,0.16,0,0,"a305e44f-4253-4754-b83f-1e34103d77b0","deck","Ally STD - Main"
"Plains","tla","Avatar: The Last Airbender","287","common","en",2,"NM","nonfoil",false,false,false,0.38,0.29,0.40,0.40,0,0,"8a880169-41ca-4507-83fd-306a489d31ce","deck","Ally STD - Main"
"Island","tla","Avatar: The Last Airbender","288","common","en",1,"NM","nonfoil",false,false,false,0.37,0.31,0.36,0.38,0,0,"d894c61a-4062-442e-8ead-5197c3bffd00","deck","Ally STD - Main"
"Plains","tla","Avatar: The Last Airbender","292","common","en",2,"NM","nonfoil",false,false,false,0.37,0.34,0.46,0.44,0,0,"d812b6f3-83f0-44c9-8583-eb97fd8fade8","deck","Ally STD - Main"
"Island","tla","Avatar: The Last Airbender","293","common","en",1,"NM","nonfoil",false,false,false,0.37,0.34,0.43,0.42,0,0,"dd5b22ec-847a-46bd-828e-be6059b4faec","deck","Ally STD - Main"
